,Item_Fat_Content,Item_Type,Item_MRP,Outlet_Size,Outlet_Location_Type,Outlet_Type,mrp per weight,visibility per mrp,mrp per year,Predictions
22,LF,Frozen Foods,47.7402,Small,Tier 1,Supermarket Type1,3.4974505494505497,0.0013747500848341648,0.023905958938407613,752.9976066666667
23,Low Fat,Others,142.347,Small,Tier 1,Grocery Store,11.38776,0.00019281795190625724,0.07171133501259447,359.1103266666668
24,Low Fat,Snack Foods,180.7318,Small,Tier 2,Supermarket Type1,9.413114583333334,0.0001946471788583968,0.09018552894211576,2919.0003599999995
25,Regular,Snack Foods,209.4928,Medium,Tier 3,Grocery Store,30.87587324981577,0.00018356299118633195,0.10485125125125125,685.5298733333334
26,Low Fat,Household,47.6034,Small,Tier 2,Supermarket Type1,3.6618,0.0007373862791313226,0.02375419161676647,748.0262999999999
27,Low Fat,Household,161.3894,Small,Tier 1,Supermarket Type1,27.706334763948497,0.0005668602274994517,0.08081592388582874,2472.803393333333
28,Low Fat,Dairy,244.6802,Small,Tier 1,Supermarket Type1,17.730449275362318,0.0002374628964664897,0.12252388582874311,3283.104186666667
29,LF,Fruits and Vegetables,116.5492,Small,Tier 2,Supermarket Type1,9.10540625,0.00019682974228909335,0.058158283433133735,2105.52592
30,Low Fat,Household,32.09,Small,Tier 1,Grocery Store,2.5672,0.0020996201308818943,0.01616624685138539,84.82292
31,Regular,Meat,194.9452,Medium,Tier 3,Supermarket Type2,20.520547368421052,0.00011361440035456118,0.09703593827775013,2769.1287799999996
32,Low Fat,Household,42.4112,Medium,Tier 3,Supermarket Type2,3.392896,0.00016016304655374052,0.021110602289696367,429.1746799999999
33,Regular,Fruits and Vegetables,217.7508,Medium,Tier 3,Supermarket Type3,17.420064,0.00011421328876862908,0.10969813602015113,6476.147826666666
34,Low Fat,Breads,164.2552,Medium,Tier 2,Supermarket Type1,28.417854671280274,0.0005901269853252743,0.08184115595416044,2628.4230466666663
35,Regular,Meat,205.098,Medium,Tier 3,Supermarket Type3,16.40784,4.23876975884699e-05,0.10332392947103275,5652.9749
36,Low Fat,Canned,80.3644,Medium,Tier 3,Supermarket Type3,6.429152,0.0009825405776687191,0.04048584382871537,2408.4205333333343
37,Low Fat,Baking Goods,114.0176,Medium,Tier 3,Grocery Store,10.968504088504089,0.00044273395510868496,0.057065865865865865,231.80936666666665
38,Low Fat,Household,192.1504,Medium,Tier 2,Supermarket Type1,10.471411444141689,0.00046570768522990325,0.0957401096163428,3194.1311133333343
39,Low Fat,Household,103.3964,Medium,Tier 3,Supermarket Type3,8.271712,0.00015418699297074171,0.05208886649874055,2598.2179199999996
40,Low Fat,Household,143.3786,Medium,Tier 3,Supermarket Type2,6.795194312796208,0.00020314827317326293,0.07136814335490294,1749.8555599999997
41,LF,Fruits and Vegetables,116.6466,Medium,Tier 3,Grocery Store,5.9061569620253165,0.0005935571289690399,0.05838168168168169,218.11608000000007
42,Low Fat,Household,173.9422,Medium,Tier 2,Supermarket Type1,20.633712930011864,0.0010273525400966526,0.08666776283009467,3033.140673333334
43,Low Fat,Others,144.847,Medium,Tier 3,Supermarket Type2,9.43628664495114,0.00010866700035209564,0.07209905425584869,2156.0379466666664
44,Low Fat,Breads,217.2166,Medium,Tier 3,Grocery Store,32.37207153502236,0.0002742198662533158,0.10871701701701701,758.0354933333333
45,Low Fat,Canned,112.1886,High,Tier 3,Supermarket Type1,11.004276606179499,0.00112558603102276,0.05646129843985908,1844.73206
46,Low Fat,Dairy,55.8298,Medium,Tier 3,Grocery Store,4.7922575107296135,0.0052180447897001245,0.027942842842842843,187.51147333333336
47,Low Fat,Health and Hygiene,183.2608,Small,Tier 2,Supermarket Type1,14.261540856031129,0.000291573036896052,0.09144750499001995,3270.47618
48,Low Fat,Frozen Foods,248.146,Small,Tier 2,Supermarket Type1,20.423539094650206,0.0005285396782539312,0.1238253493013972,4579.43898
49,Low Fat,Snack Foods,124.9046,Small,Tier 1,Supermarket Type1,6.844087671232876,0.0006020188928189994,0.06254611917876815,2403.7155466666673
50,Low Fat,Hard Drinks,57.0614,Small,Tier 1,Supermarket Type1,9.542040133779263,0.0013241519661277151,0.028573560340510767,1056.1807333333334
51,Low Fat,Meat,106.6938,High,Tier 3,Supermarket Type1,8.434292490118576,0.0011521608097190277,0.05369592350276799,2025.1860533333333
52,Regular,Fruits and Vegetables,181.0318,Medium,Tier 2,Supermarket Type1,13.819221374045803,0.0002454946699972049,0.09020019930244146,3105.668486666667
53,Regular,Fruits and Vegetables,122.3388,Medium,Tier 2,Supermarket Type1,5.91008695652174,0.0008234637661968238,0.060956053811659194,1900.1488133333335
54,Regular,Fruits and Vegetables,188.7188,Medium,Tier 3,Supermarket Type3,15.097503999999999,0.00021010880209072972,0.09507244332493703,4377.679386666668
55,Low Fat,Canned,188.8188,Medium,Tier 1,Supermarket Type1,24.03803946530872,5.973278614205788e-05,0.09445662831415709,3627.07866
56,Regular,Snack Foods,179.666,High,Tier 3,Supermarket Type1,13.458127340823971,0.0,0.09042073477604429,3417.4404333333337
57,LF,Frozen Foods,38.3822,High,Tier 3,Supermarket Type1,2.225055072463768,0.002786517213708438,0.01931665827881228,591.3191733333333
58,Regular,Snack Foods,263.2568,Small,Tier 1,Grocery Store,21.060544,0.000493151390581364,0.13262307304785895,614.5555933333333
59,Regular,Dairy,90.1514,Medium,Tier 2,Supermarket Type1,8.672573352573352,0.000332190171200891,0.04503066933066933,1375.1211266666662
60,Regular,Baking Goods,144.8444,Small,Tier 2,Supermarket Type1,17.419651232711967,0.00024554250630331586,0.07227764471057885,2547.461766666667
61,Regular,Dairy,214.9876,Medium,Tier 2,Supermarket Type1,10.385874396135266,0.00022215235669406053,0.10711888390632784,4686.4996200000005
62,Low Fat,Household,141.347,Medium,Tier 3,Supermarket Type3,11.30776,0.00010675250978089383,0.07120755667506298,2764.0908933333335
63,Low Fat,Fruits and Vegetables,96.8094,Medium,Tier 2,Supermarket Type1,4.534398126463699,0.0008076040136598306,0.04823587443946188,1501.3568066666667
64,Low Fat,Frozen Foods,152.6998,Medium,Tier 2,Supermarket Type1,25.9693537414966,0.0005673362047625472,0.07627362637362638,2787.5936333333334
65,Regular,Starchy Foods,90.3804,Medium,Tier 3,Supermarket Type3,7.2304319999999995,0.0007115044412284079,0.04553168765743073,2621.5431133333336
66,low fat,Starchy Foods,165.8158,Medium,Tier 2,Supermarket Type1,22.30205783456624,0.0005121952190322032,0.08261873442949676,2780.4695733333338
67,Low Fat,Household,262.5594,Small,Tier 1,Supermarket Type1,17.922143344709895,0.0002744774477699142,0.13147691537305958,4067.594133333334
68,Low Fat,Starchy Foods,181.2634,High,Tier 3,Supermarket Type1,12.947385714285714,0.0002276069355424206,0.09122466029189732,3703.401533333333
69,Low Fat,Household,221.6456,Medium,Tier 2,Supermarket Type1,12.17832967032967,0.0002643298942094948,0.11071208791208792,3032.6080333333334
70,Low Fat,Household,180.0976,Medium,Tier 1,Supermarket Type1,10.232818181818182,8.723844182265616e-05,0.09009384692346173,2834.0442799999996
71,Low Fat,Baking Goods,108.1938,Medium,Tier 3,Supermarket Type3,8.655504,0.00030236633707291915,0.0545056926952141,2599.0390733333334
72,Regular,Dairy,122.3756,Medium,Tier 3,Supermarket Type2,15.872321660181584,0.00039045816322861747,0.06091368840219015,2043.0294933333332
73,Low Fat,Soft Drinks,245.2486,Medium,Tier 1,Supermarket Type1,31.401869398207428,0.00027547627590942414,0.12268564282141071,5644.11976
74,Low Fat,Household,256.2646,Medium,Tier 2,Supermarket Type1,15.673675840978591,0.00011513520400398652,0.1280042957042957,3995.510186666667
75,Regular,Soft Drinks,173.7054,Medium,Tier 2,Supermarket Type1,13.361953846153845,0.0002594974249505197,0.08676593406593407,3790.2662399999986
76,Low Fat,Snack Foods,124.8704,Small,Tier 1,Grocery Store,9.989632,0.0023988403416662393,0.06290700251889168,398.03743333333324
77,Low Fat,Frozen Foods,148.6392,Small,Tier 1,Supermarket Type1,11.134022471910113,0.0009381940497526898,0.07443124687030546,3053.9802133333337
78,Low Fat,Hard Drinks,252.4382,Small,Tier 1,Grocery Store,20.195056,0.0009752020771816627,0.1271728967254408,537.9885933333334
79,LF,Dairy,145.176,High,Tier 3,Supermarket Type1,9.017142857142856,0.0004486208739736596,0.07306290890790135,2218.0905066666664
80,Low Fat,Soft Drinks,152.6998,Small,Tier 2,Supermarket Type1,8.554610644257703,0.00016251877867554508,0.07619750499001997,2251.2029600000005
81,Regular,Snack Foods,100.6358,Medium,Tier 3,Supermarket Type2,18.845655430711613,5.950342720980009e-05,0.050092483822797414,1465.89186
82,Low Fat,Health and Hygiene,97.3726,Small,Tier 1,Supermarket Type1,17.67197822141561,0.00035404008930643726,0.04875943915873811,1942.6046600000002
83,Regular,Snack Foods,188.6898,High,Tier 3,Supermarket Type1,28.5461119515885,0.00015362559078445153,0.09496215400100654,2668.5929800000004
84,Low Fat,Dairy,177.6344,Medium,Tier 2,Supermarket Type1,27.842382445141066,0.0001805877915538882,0.08850742401594419,2659.5159066666674
85,Regular,Fruits and Vegetables,108.9596,Small,Tier 2,Supermarket Type1,6.767677018633539,0.00012475404645391502,0.054371057884231536,1593.4813333333336
86,LF,Breads,230.5668,Small,Tier 1,Supermarket Type1,16.89134065934066,6.9010074303846e-05,0.11545658487731597,3734.40562
87,Regular,Starchy Foods,225.5062,Small,Tier 1,Supermarket Type1,11.745114583333335,2.4782471612753886e-05,0.11292248372558839,3550.067793333333
88,Low Fat,Canned,46.2376,Medium,Tier 2,Supermarket Type1,5.308564867967853,0.0030172580540512484,0.023095704295704296,725.3891000000002
89,Regular,Dairy,242.2538,Medium,Tier 3,Grocery Store,13.648101408450705,0.0010835921872020169,0.12124814814814816,535.5695200000001
90,Regular,Meat,165.7816,Medium,Tier 2,Supermarket Type1,8.567524547803616,0.0,0.082807992007992,2449.2118799999994
91,Low Fat,Dairy,223.1404,Medium,Tier 3,Supermarket Type3,17.851232,0.0002544755409598621,0.11241329974811083,4885.307500000002
92,Low Fat,Frozen Foods,107.7912,Medium,Tier 3,Supermarket Type3,8.623296,0.0003853401669152955,0.05430287153652393,2868.843426666667
93,Low Fat,Breads,99.47,Medium,Tier 3,Supermarket Type2,15.445652173913043,0.0007996185382527395,0.04951219512195122,1662.5247933333337
94,Low Fat,Health and Hygiene,122.1414,High,Tier 3,Supermarket Type1,9.693761904761905,0.0005244525934695361,0.06147025666834424,1895.33286
95,Low Fat,Dairy,48.135,Small,Tier 1,Supermarket Type1,6.066162570888469,0.0003564196946089124,0.024103655483224837,887.7999133333334
96,Low Fat,Snack Foods,140.4154,Medium,Tier 2,Supermarket Type1,7.693994520547945,0.000388425827936252,0.06996283009466867,1828.7972466666668
97,Regular,Dairy,145.6102,Medium,Tier 3,Supermarket Type2,7.870821621621621,0.00031350120389917743,0.07247894474863116,1995.1806666666664
98,Regular,Baking Goods,185.724,Medium,Tier 2,Supermarket Type1,30.77448218724109,0.0003549201718679331,0.09276923076923077,3522.7921866666675
99,Low Fat,Health and Hygiene,81.1618,High,Tier 3,Supermarket Type1,6.878118644067796,0.0007230908999061135,0.04084640161046804,1557.195233333333
100,Regular,Meat,151.1366,Medium,Tier 3,Supermarket Type2,24.143226837060702,6.555733687273633e-05,0.07522976605276256,2549.3925866666664
101,Regular,Baking Goods,97.2068,Medium,Tier 2,Supermarket Type1,5.891321212121213,0.0009710762518671534,0.048433881415047335,1361.6275799999999
102,Regular,Canned,169.279,Medium,Tier 2,Supermarket Type1,10.782101910828025,0.00016406795881355633,0.08434429496761335,3100.1645400000007
103,reg,Baking Goods,122.1098,Small,Tier 1,Supermarket Type1,18.40388847023361,5.180670183719897e-05,0.06114661992989485,2349.9854866666665
104,low fat,Soft Drinks,191.553,Small,Tier 1,Grocery Store,15.32424,0.000751700813873967,0.09650025188916876,871.9538733333335
105,Low Fat,Household,250.6066,Medium,Tier 3,Supermarket Type3,20.048527999999997,0.000368440376271016,0.12625017632241814,5854.423786666667
106,Low Fat,Canned,248.6092,Small,Tier 1,Grocery Store,19.888735999999998,0.0003365192961483324,0.12524392947103274,546.2889
107,Regular,Snack Foods,53.064,Medium,Tier 1,Supermarket Type1,3.7902857142857145,0.0007919304801748831,0.02654527263631816,832.5385133333334
108,Regular,Dairy,48.8692,Medium,Tier 3,Supermarket Type3,3.909536,0.001474227857218862,0.0246192443324937,1594.0361666666663
109,Low Fat,Dairy,249.775,Medium,Tier 3,Supermarket Type2,14.071830985915494,0.0,0.12432802389248382,4329.786173333333
110,Low Fat,Fruits and Vegetables,159.0262,Medium,Tier 3,Grocery Store,8.959222535211268,0.00015346033546673443,0.07959269269269269,654.1041133333333
111,Low Fat,Meat,190.653,Small,Tier 1,Supermarket Type1,23.37866339668915,0.0006265342743098719,0.09546970455683525,3736.380826666666
112,Low Fat,Canned,76.6986,Medium,Tier 3,Grocery Store,4.446295652173913,0.0015895680103678554,0.03838768768768769,198.07549999999998
113,Regular,Frozen Foods,232.0668,Medium,Tier 3,Supermarket Type3,18.565344,0.0005683929282430749,0.11691022670025189,6696.3944666666675
114,Regular,Meat,95.3752,Small,Tier 2,Supermarket Type1,15.445376518218625,0.0018772554500541018,0.04759241516966068,1514.9169333333327
115,Low Fat,Hard Drinks,107.0938,Medium,Tier 3,Supermarket Type3,8.567504,0.00014221364822239942,0.05395153652392947,2517.5895400000004
116,Regular,Frozen Foods,55.9588,Small,Tier 1,Supermarket Type1,6.840929095354523,0.0014725403689857539,0.028021432148222333,839.17432
117,Low Fat,Baking Goods,92.5462,High,Tier 3,Supermarket Type1,11.07674446439258,0.0001503840028007633,0.04657584297936588,1058.15594
118,Regular,Dairy,96.3726,Small,Tier 2,Supermarket Type1,13.956929761042723,0.0003957578502603437,0.04809011976047904,1529.9640133333335
119,Low Fat,Snack Foods,116.9466,Medium,Tier 2,Supermarket Type1,5.74676167076167,0.00046317341419075027,0.058414885114885115,1637.33536
120,Low Fat,Baking Goods,178.766,Medium,Tier 3,Supermarket Type3,14.301279999999998,0.00018063496414306974,0.09005843828715365,4912.028273333333
121,Low Fat,Household,33.0558,Medium,Tier 2,Supermarket Type1,1.7171844155844154,0.003286609248603876,0.016470254110612852,687.8379800000001
122,Low Fat,Frozen Foods,84.625,Small,Tier 2,Supermarket Type1,15.442518248175181,0.00017849734711964548,0.04222804391217565,1689.5784666666664
123,Regular,Baking Goods,87.3514,Medium,Tier 1,Supermarket Type1,16.10164055299539,0.001312519055218348,0.043697548774387196,1799.4354666666668
124,Low Fat,Baking Goods,220.2114,Medium,Tier 3,Supermarket Type2,18.199289256198348,0.0005237785555152912,0.10961244400199104,3726.2606666666675
125,Regular,Baking Goods,186.424,Medium,Tier 3,Supermarket Type3,14.913920000000001,0.0,0.09391637279596977,4668.301086666667
126,Low Fat,Meat,120.6756,Medium,Tier 2,Supermarket Type1,10.970509090909092,7.428742844452399e-05,0.06027752247752248,1694.6829333333333
127,Low Fat,Baking Goods,38.8164,Medium,Tier 3,Supermarket Type2,6.733113616652212,0.0021214325903484094,0.019321254355400698,668.3078466666667
128,Low Fat,Canned,110.1254,Medium,Tier 3,Supermarket Type2,7.980101449275362,0.00012093486153058241,0.05481602787456446,1360.2515933333334
129,Low Fat,Canned,108.2254,High,Tier 3,Supermarket Type1,7.842420289855071,0.00012245674305662072,0.05446673376950176,1721.6256399999997
130,Regular,Baking Goods,177.837,Medium,Tier 3,Supermarket Type2,32.690625,9.633233241676368e-05,0.08852015928322549,2567.2138333333332
131,Low Fat,Fruits and Vegetables,116.4492,High,Tier 3,Supermarket Type1,9.09759375,0.00019687206095018257,0.05860553598389532,1978.1805733333329
132,Low Fat,Household,109.3912,Small,Tier 2,Supermarket Type1,17.845220228384992,0.0002588520557412297,0.054586427145708584,1787.0515866666667
133,Low Fat,Baking Goods,93.9462,Medium,Tier 3,Grocery Store,11.463843807199511,0.0005595002565298011,0.04702012012012012,228.10307999999998
134,Low Fat,Soft Drinks,81.3276,Medium,Tier 1,Supermarket Type1,5.747533568904593,0.002259904386702669,0.04068414207103552,1119.897793333333
135,Low Fat,Frozen Foods,151.2708,Small,Tier 1,Grocery Store,12.101664000000001,0.000735741187327627,0.07620695214105794,222.99861333333328
136,Low Fat,Snack Foods,39.5822,Medium,Tier 3,Supermarket Type2,2.363116417910448,0.0007543996796539859,0.019702439024390245,437.3862133333333
137,LF,Baking Goods,76.5328,Medium,Tier 1,Supermarket Type1,5.351944055944055,0.0017066914969790731,0.03828554277138569,1263.8437533333333
138,LF,Canned,94.7094,Small,Tier 1,Grocery Store,7.576752,0.0025234055436947123,0.04771254408060453,351.18730666666653
139,Low Fat,Baking Goods,151.805,High,Tier 3,Supermarket Type1,26.9396628216504,0.0006797298903198182,0.07639909411172623,2454.627053333334
140,Low Fat,Soft Drinks,188.3898,Medium,Tier 3,Grocery Store,32.87780104712042,0.0,0.09428918918918919,529.2000333333332
141,Regular,Breads,36.5874,Small,Tier 1,Supermarket Type1,5.113542976939203,0.004596838693101997,0.01832118177265899,731.8695533333334
142,low fat,Soft Drinks,97.3752,Medium,Tier 1,Supermarket Type1,6.406263157894737,0.0005161052814268931,0.048711955977989,1383.3104666666668
143,Low Fat,Household,128.5968,Small,Tier 2,Supermarket Type1,8.432577049180328,0.0004756979567143195,0.06417005988023952,2153.0196533333324
144,Regular,Dairy,89.5514,Small,Tier 2,Supermarket Type1,8.614853294853296,0.00033367593359791135,0.04468632734530938,1378.383546666667
145,Low Fat,Health and Hygiene,126.9336,Medium,Tier 2,Supermarket Type1,14.49013698630137,0.0003951216935468623,0.0634033966033966,2399.654166666667
146,Low Fat,Household,152.6024,Small,Tier 2,Supermarket Type1,16.714392113910183,0.00033969073225584924,0.07614890219560878,2102.241306666666
147,Low Fat,Fruits and Vegetables,189.7846,Medium,Tier 3,Supermarket Type3,15.182768000000001,0.0005803219544683815,0.0956093702770781,4948.247793333333
148,Low Fat,Household,106.0964,Medium,Tier 2,Supermarket Type1,5.413081632653061,0.00022702585573120294,0.05286317887394121,1542.2591200000004
149,Low Fat,Household,53.7614,Medium,Tier 3,Supermarket Type3,4.300912,0.00024395880687630902,0.02708382871536524,1306.6103066666667
150,Low Fat,Snack Foods,118.9466,Medium,Tier 1,Supermarket Type1,5.845041769041769,0.0,0.059503051525762886,2100.4880333333335
151,Low Fat,Fruits and Vegetables,246.2144,Medium,Tier 2,Supermarket Type1,24.62144,0.0001574410676223649,0.12298421578421578,4810.072099999999
152,Low Fat,Household,180.466,Medium,Tier 3,Grocery Store,15.970442477876105,0.0004425743907439628,0.09032332332332332,433.4358
153,Low Fat,Hard Drinks,259.3278,Small,Tier 2,Supermarket Type1,39.47150684931507,0.0002547242717518137,0.12940508982035928,4147.3569733333325
154,Low Fat,Household,158.4604,Medium,Tier 3,Supermarket Type2,12.050220532319392,0.0005871783612814306,0.07887526132404181,1752.1192800000001
155,Low Fat,Breads,129.4994,High,Tier 3,Supermarket Type1,27.939460625674222,0.001087046480524234,0.06517332662304982,2392.2193999999995
156,Regular,Breakfast,49.1008,Medium,Tier 3,Supermarket Type2,4.632150943396226,0.0006758914111379041,0.024440418118466898,681.1577866666667
157,Low Fat,Breads,65.2826,Medium,Tier 1,Supermarket Type1,7.01963440860215,0.001706326647529357,0.0326576288144072,911.7243266666669
158,Low Fat,Dairy,82.525,Medium,Tier 2,Supermarket Type1,11.755698005698008,0.0006054713965465009,0.041221278721278724,1275.850346666667
159,Low Fat,Dairy,58.293,Medium,Tier 1,Supermarket Type1,4.224130434782609,0.001667661606024737,0.029161080540270133,897.0989200000001
160,Regular,Frozen Foods,158.0288,Medium,Tier 2,Supermarket Type1,20.195373801916933,0.0009546600429795076,0.07873881415047333,2016.819166666667
161,Low Fat,Others,182.5608,Small,Tier 2,Supermarket Type1,9.558157068062826,0.0005033961617170828,0.09109820359281437,3006.087
162,Low Fat,Fruits and Vegetables,231.101,High,Tier 3,Supermarket Type1,30.77243675099867,7.535482754293577e-05,0.11630649219929542,3503.728113333333
163,Low Fat,Fruits and Vegetables,183.0292,Small,Tier 1,Supermarket Type1,20.681265536723163,0.000294307749801671,0.09165207811717577,3455.3022599999986
164,Low Fat,Frozen Foods,75.4038,Medium,Tier 1,Supermarket Type1,4.346040345821326,0.00019514434285805224,0.037720760380190094,1128.59758
165,Low Fat,Baking Goods,110.5544,Medium,Tier 3,Grocery Store,6.228416901408451,0.0011500296324705305,0.055332532532532536,212.94503333333336
166,Regular,Baking Goods,87.5514,Medium,Tier 3,Supermarket Type3,7.004112,0.0007072777134346224,0.044106498740554154,2188.573373333333
167,Low Fat,Fruits and Vegetables,174.3738,Medium,Tier 1,Supermarket Type1,10.504445783132528,0.0007020407538288437,0.0872305152576288,2208.25886
168,Low Fat,Baking Goods,150.4708,Medium,Tier 2,Supermarket Type1,9.93206600660066,0.0,0.07516023976023976,2565.12766
169,Regular,Canned,186.924,Medium,Tier 3,Grocery Store,34.23516483516484,0.00028812981746592197,0.09355555555555556,428.50888000000003
170,Regular,Starchy Foods,188.5898,Medium,Tier 2,Supermarket Type1,19.851557894736843,0.00025867923928017314,0.0942006993006993,3808.0431000000003
171,LF,Household,161.492,Medium,Tier 2,Supermarket Type1,11.962370370370369,0.0004525311903995245,0.08046437468858993,3033.739893333334
172,Low Fat,Household,106.5306,Medium,Tier 3,Grocery Store,12.873788519637463,0.0017328583805967487,0.05331861861861862,176.05971333333338
173,Regular,Baking Goods,39.4138,Medium,Tier 3,Grocery Store,3.649425925925926,0.002044512353541145,0.019726626626626626,116.64816000000002
174,Low Fat,Baking Goods,151.305,Medium,Tier 2,Supermarket Type1,26.850931677018636,0.0006864048577376821,0.07538863976083707,2606.2519066666673
175,Low Fat,Fruits and Vegetables,228.801,Medium,Tier 3,Supermarket Type2,30.46617842876165,7.648602497366708e-05,0.11388800398208063,3470.060826666667
176,Low Fat,Baking Goods,127.6362,Medium,Tier 3,Supermarket Type3,10.210896,0.001357572326659678,0.06430035264483627,2774.899046666667
177,Low Fat,Meat,180.6292,Medium,Tier 3,Supermarket Type3,14.450336,0.0004616832771224144,0.09099707808564232,5005.08492
178,Regular,Baking Goods,36.4874,Medium,Tier 3,Supermarket Type3,2.9189920000000003,0.0012346070150243645,0.01838156171284635,793.4782466666669
179,Low Fat,Soft Drinks,236.4564,Medium,Tier 3,Supermarket Type3,18.916512,0.00021913797638803601,0.1191216120906801,5513.068126666667
180,Regular,Fruits and Vegetables,102.7332,Small,Tier 2,Supermarket Type1,6.627948387096774,0.00025597402787025034,0.051264071856287424,1573.7514600000002
181,low fat,Canned,198.5768,Medium,Tier 3,Supermarket Type2,40.484566768603464,0.0005932631858303689,0.0988436037829766,3494.4956866666666
182,Regular,Frozen Foods,243.9144,Small,Tier 2,Supermarket Type1,26.2697253634895,0.00020200108726668045,0.12171377245508982,4120.747166666667
183,Low Fat,Household,55.4956,Medium,Tier 2,Supermarket Type1,6.1868004459308805,0.0016855525302906897,0.027651021425012457,822.5071266666666
184,Low Fat,Health and Hygiene,108.228,Medium,Tier 3,Grocery Store,5.7721599999999995,0.0008048362992940829,0.05416816816816816,317.5644066666667
185,Low Fat,Household,110.9544,Medium,Tier 1,Supermarket Type1,12.473794266441823,0.0,0.05550495247623812,1416.9777533333336
186,Low Fat,Fruits and Vegetables,199.1426,Small,Tier 2,Supermarket Type1,12.179975535168193,0.0003418057311695238,0.09937255489021955,3251.2345600000003
187,Regular,Starchy Foods,239.4538,High,Tier 3,Supermarket Type1,23.48737616478666,7.356972409709098e-05,0.12051021640664318,3713.6992399999995
188,Low Fat,Hard Drinks,225.2088,Medium,Tier 1,Supermarket Type1,23.70618947368421,0.000181601060882168,0.1126607303651826,3795.6148333333335
189,Low Fat,Household,169.5106,Small,Tier 2,Supermarket Type1,14.00914049586777,0.00047071496413793594,0.08458612774451098,3735.33774
190,Low Fat,Fruits and Vegetables,101.399,Small,Tier 1,Supermarket Type1,8.11192,0.0003062128226116628,0.050775663495242866,1436.2193733333334
191,Low Fat,Snack Foods,236.2248,Medium,Tier 3,Supermarket Type2,15.541105263157895,8.090735181064816e-05,0.11758327526132403,2789.10278
192,Low Fat,Baking Goods,151.205,Small,Tier 1,Supermarket Type1,26.833185448092284,0.0006829955094077577,0.07571607411116675,2386.915193333334
193,Regular,Canned,227.8352,Small,Tier 1,Grocery Store,18.226816,0.00023702011805023983,0.11477843828715364,574.8073333333334
